Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
81502468,81504440,33084,33264
81505097,81507067,33885,34567
81507722,81509694,33398,34406
81510349,81512321,33049,33729
81512976,81514951,33365,32514
81515606,81517579,33602,33571
81518235,81520205,33238,34078
81520860,81522831,32542,32955
81523487,81525459,33001,32978
81526116,81528087,33803,34641
81532647,81534618,33231,33816
81535273,81537246,33653,34039
81537902,81539875,33382,34388
81540530,81542500,34028,34245
81543154,81545126,32306,33989
81545781,81547754,33510,32666
81548409,81550382,33717,34499
81551040,81553012,32876,33675
81553667,81555640,33847,33364
81556295,81558270,33684,33561
81558925,81560896,33973,33518
81561552,81563523,33581,34072
81564178,81566148,32753,33743
81566803,81568776,33041,33949
81569431,81571402,32549,33490
81572059,81574031,33088,33586
81574686,81576657,32938,32413
81581238,81583209,33100,33833
81583864,81585837,32900,34492
81586492,81588467,33421,34187
81589124,81591097,33691,33554
81591752,81593724,33255,34134
81594379,81596352,33174,34076
81597009,81598982,33582,33658
81599637,81601608,33386,33986
81602263,81604237,33417,33716
81604892,81606864,33288,34346
81607519,81609493,34038,33897
81610150,81612120,33423,32641
81612775,81614748,33663,33836
81615404,81617376,33651,34202
81618033,81620005,33270,33267
81620660,81622633,33331,34570
81627219,81629190,33646,34581
81629845,81631816,34047,33927
81632472,81634443,33399,33740
81635100,81637073,33351,34397
81637728,81639699,33478,34019
81640353,81642324,32269,33673
81642979,81644951,33302,34180
81645606,81647579,33139,34480
81648235,81650205,33238,34203
81650860,81652831,33930,34039
81653486,81655459,33331,34126
81656116,81658087,33192,32727
81658743,81660714,33509,32798
81661368,81663339,33884,33512
81663995,81665968,33755,34098
81666623,81668595,33943,33877
81669250,81671220,33375,34221
81675793,81677766,31813,33739
81678421,81680394,33341,34443
81681051,81683022,33160,34076
81683677,81685650,33592,34176
81686304,81688277,33321,34583
81688932,81690904,32797,34417
81691559,81693532,33418,33996
81694186,81696159,33674,33803
81696814,81698788,33326,34462
81699443,81701413,33304,31951
81702070,81704042,33273,33826
81704697,81706670,33190,34669
81707326,81709300,32183,33706
81709955,81711928,33100,33808
81712584,81714557,34014,34617
81715213,81717186,32936,34302
81721750,81723722,32997,34406
81724377,81726350,32846,34149
81727008,81728978,33247,34109
81729633,81731604,33179,32824
81732259,81734230,32003,33992
81734885,81736856,33241,34139
81737511,81739482,33508,34057
81740139,81742110,32886,34462
81742766,81744739,33969,33475
81745394,81747369,33242,34005
81748026,81749997,33907,34511
81750655,81752626,33861,34341
81753282,81755255,33693,33942
81755910,81757882,33999,33599
81758538,81760510,32956,33219
81761166,81763139,33893,33110
81763794,81765766,32943,33542
81770345,81772315,32973,34225
81772970,81774942,33370,34088
81775597,81777570,33248,33734
81778226,81780199,34100,33457
81780854,81782827,31677,33260
81783483,81785456,32950,34658
81786113,81788087,34015,34622
81788743,81790712,33273,33684
81791368,81793339,33006,33000
81793994,81795967,33921,33892
81796622,81798595,33967,34502
81799250,81801222,33441,34020
81801877,81803850,32878,33081
81804505,81806478,32935,34332
81807135,81809106,33618,34333
81809762,81811733,34075,34174
81816322,81818295,33221,34392
81818950,81820920,33520,34398
81821575,81823548,32943,34605
81824204,81826177,32704,33921
81826832,81828803,32792,33134
81829459,81831430,33380,32919
81832087,81834060,33423,33444
81834716,81836689,33655,33641
81837345,81839316,32902,34663
81839971,81841944,32946,33803
81842599,81844572,32777,33582
81845227,81847202,33850,34518
81847857,81849829,33003,33262
81850485,81852459,33145,34125
81853116,81855087,32879,33803
81855743,81857714,33469,34275
81858370,81860341,33613,33511
81864794,81866767,33642,33666
81867423,81869396,33347,34008
81870053,81872023,32593,33780
81872679,81874652,33850,33794
81875307,81877280,33570,33850
81877935,81879906,33740,33512
81880562,81882534,33352,33587
81883188,81885163,33066,34608
81885819,81887792,33767,33823
81888448,81890419,33543,34180
81891076,81893048,32876,34179
81893704,81895678,31559,33941
81896334,81898304,33819,34245
81898959,81900930,32759,34414
81901586,81903557,33845,33469
81904213,81906185,33216,34194
81910753,81912724,33138,34718
81913380,81915353,33774,33271
81916010,81917983,33942,33736
81918639,81920610,33258,33688
81921265,81923239,33679,34102
81923893,81925865,32654,34471
81926520,81928493,33101,34281
81929149,81931120,32955,34082
81931774,81933747,32701,34247
81934402,81936374,33917,33704
81937031,81939005,33576,34029
81939659,81941632,33284,34193
81942287,81944262,33016,32824
81944916,81946891,33217,34448
81947545,81949516,34012,34103
81950170,81952141,33749,34149
81952795,81954768,33654,33701
81959356,81961328,33561,34553
81961982,81963953,33650,34534
81964608,81966579,32933,34189
81967234,81969205,33502,34159
81969860,81971831,33298,34048
81972486,81974459,33929,33604
81975115,81977088,32792,34393
81977742,81979714,32403,33347
81980368,81982339,33467,34469
81982994,81984967,33325,33492
81985621,81987594,33638,32519
81988247,81990218,32771,34108
81990873,81992846,31540,33477
81993500,81995473,33575,34221
81996130,81998103,33559,34260
81998758,82000731,33711,33855
82005309,82007284,33016,34295
82007939,82009909,33613,33910
82010563,82012534,33132,33868
82013187,82015160,32910,33057
82015815,82017788,33571,34427
82018443,82020413,33108,34033
82021070,82023042,33567,33773
82023697,82025669,33630,34196
82026324,82028297,33144,34048
82028952,82030922,32528,34356
82031577,82033549,33258,33939
82034204,82036177,33524,34643
82036832,82038803,33483,33295
82039458,82041429,33246,34319
82042086,82044059,32912,33306
82044714,82046686,33721,32618
82047341,82049313,33544,34115
82053888,82055861,33569,33733
82056516,82058489,32897,33806
82059146,82061118,33443,33859
82061772,82063745,33909,34104
82064400,82066373,32396,32965
82067030,82069003,33046,34560
82069657,82071630,33518,34055
82072285,82074258,32739,33582
82074913,82076886,33265,33770
82077541,82079512,33538,33909
82080167,82082140,33181,34354
82082795,82084768,32644,34623
82085423,82087396,33093,34159
82088052,82090023,34077,34371
82090678,82092651,33187,33927
82093306,82095279,32979,33506
82099853,82101826,33487,32659
82102481,82104453,32833,33936
82105110,82107083,33155,34121
82107737,82109709,33020,34173
82110364,82112337,33639,34528
82112992,82114964,33425,34523
82115619,82117592,33173,34121
82118247,82120218,32793,33410
82120873,82122846,32048,33775
82123501,82125473,33137,33562
82126130,82128103,33468,34245
82128757,82130731,32827,34249
82131386,82133360,32781,32638
82134017,82135990,33314,34479
82136645,82138618,33096,33535
82139272,82141243,32718,33997
82141898,82143871,33423,34471
82148459,82150430,33432,33696
82151087,82153060,32948,33361
82153714,82155687,34059,34359
82156342,82158313,33852,33570
82158968,82160941,33278,34231
82161596,82163569,33431,33918
82164224,82166197,33233,34510
82166852,82168824,34097,33877
82169479,82171451,32490,34084
82172108,82174080,32519,34527
82174735,82176706,31947,34057
82177361,82179334,33417,33941
