Inter-sample gap (us): 50
Inter-average gap (us): 1500
Samples averaged: 20
Format: micros(), A0, A1 
64440878,64442852,33223,34130
64444505,64446478,33339,34071
64448133,64450103,34005,34045
64451756,64453729,34010,33974
64455382,64457354,31739,34102
64459009,64460982,33303,33854
64462636,64464607,33695,33449
64466260,64468231,33327,34510
64469884,64471855,33769,34301
64473509,64475482,32552,33210
64477137,64479109,33769,32284
64480762,64482733,33323,33748
64484386,64486360,33425,34397
64488015,64489989,33575,34078
64491642,64493612,33631,33870
64495265,64497238,33994,34183
64502768,64504739,33180,34420
64506393,64508364,32256,34155
64510019,64511989,33783,32236
64513642,64515614,33589,33100
64517266,64519239,32668,33857
64520891,64522864,33179,34456
64524517,64526490,33011,33983
64528145,64530116,32518,34404
64531769,64533740,33735,33591
64535393,64537363,33452,34121
64539017,64540989,33288,33487
64542641,64544612,33456,33942
64546265,64548239,33801,33879
64549891,64551864,32854,33441
64553517,64555490,33434,33576
64557145,64559116,32466,34090
64560769,64562740,33164,34095
64568257,64570229,32864,32669
64571882,64573852,32926,33427
64575505,64577478,33247,33958
64579133,64581104,33686,33758
64582757,64584730,32974,34280
64586383,64588355,33661,34541
64590010,64591983,33227,33740
64593636,64595608,33490,32839
64597261,64599231,33755,34404
64600884,64602854,33516,34285
64604507,64606481,33974,34109
64608136,64610107,33579,33855
64611760,64613731,33968,34260
64615385,64617359,32703,33748
64619014,64620987,32199,33661
64622639,64624611,34036,33399
64630127,64632100,33527,33633
64633753,64635723,33303,33893
64637376,64639347,32587,33577
64641002,64642973,33499,33777
64644625,64646597,32775,33443
64648249,64650220,33631,34289
64651872,64653845,32438,34254
64655497,64657470,33233,33453
64659126,64661099,33732,33513
64662751,64664723,33199,33828
64666376,64668347,33184,34132
64670001,64671973,33302,33228
64673626,64675597,33953,34202
64677250,64679220,34044,33799
64680873,64682846,33553,32400
64684499,64686472,33444,34027
64688126,64690099,33378,34123
64695632,64697604,32786,33702
64699257,64701230,32460,33664
64702882,64704853,33750,33714
64706506,64708481,32084,33562
64710135,64712107,33497,33645
64713760,64715731,33640,33500
64717385,64719359,31694,33807
64721014,64722987,33332,33273
64724640,64726610,32301,34480
64728263,64730237,33869,34274
64731889,64733862,32433,34266
64735514,64737485,33416,34203
64739140,64741112,33277,34004
64742765,64744738,33556,33438
64746390,64748361,32680,33204
64750017,64751989,31962,34088
64757515,64759486,33441,34433
64761141,64763112,33229,34562
64764766,64766738,32793,34292
64768391,64770362,33557,33045
64772017,64773990,33524,34618
64775643,64777614,33579,34191
64779266,64781237,32775,34034
64782890,64784862,33058,33986
64786515,64788486,32915,34081
64790140,64792111,33611,32342
64793763,64795735,33988,34330
64797388,64799360,33591,33956
64801015,64802989,32748,34191
64804642,64806612,32365,33683
64808264,64810237,33025,34036
64811890,64813863,33228,33936
64815516,64817489,33676,34085
64822883,64824854,33219,34271
64826507,64828481,33412,34479
64830136,64832107,33373,34104
64833759,64835731,33090,33629
64837384,64839357,33538,34220
64841012,64842985,33279,33660
64844638,64846608,32884,34108
64848261,64850231,33606,33694
64851884,64853854,33735,34177
64855507,64857481,33611,34022
64859136,64861107,33722,34234
64862760,64864731,33081,34558
64866385,64868358,32276,32569
64870013,64871986,33224,33671
64873639,64875610,33573,33681
64877263,64879236,33264,34162
64884755,64886729,32774,34478
64888383,64890355,32346,32652
64892010,64893983,33273,34142
64895636,64897608,33255,34184
64899261,64901231,32956,34144
64902884,64904855,33345,34304
64906508,64908481,33165,34000
64910136,64912107,33741,34129
64913760,64915731,32332,33586
64917385,64919357,33530,34022
64921012,64922985,33922,32357
64924638,64926610,33492,34103
64928263,64930237,33435,34713
64931889,64933862,33200,34166
64935515,64937485,33074,34416
64939139,64941111,34059,34006
64942763,64944734,33854,33599
64950265,64952237,33541,34125
64953890,64955863,33146,34138
64957516,64959489,33383,33790
64961144,64963116,33931,34080
64964769,64966740,33603,34512
64968394,64970368,33309,34547
64972023,64973994,32431,33029
64975647,64977619,33232,33168
64979272,64981243,32693,32996
64982895,64984868,32997,34126
64986521,64988494,33251,33559
64990150,64992121,33548,34131
64993773,64995745,32851,33296
64997398,64999371,33621,33530
65001026,65002997,32827,33352
65004653,65006625,33673,33637
65012154,65014125,33084,33610
65015779,65017753,33408,33474
65019406,65021379,33678,33301
65023034,65025005,33596,34387
65026658,65028631,33342,33725
65030284,65032256,33863,34283
65033910,65035883,33418,33869
65037536,65039506,32176,34545
65041158,65043130,34031,34600
65044783,65046754,33874,34473
65048407,65050382,33770,33064
65052036,65054006,33105,33370
65055659,65057632,31915,33674
65059285,65061258,32860,33719
65062912,65064885,34061,33383
65066539,65068510,33606,32554
65070164,65072135,33675,33289
65077645,65079617,33459,33845
65081270,65083241,33381,34507
65084895,65086868,33435,33973
65088522,65090495,33225,34116
65092150,65094121,33417,34207
65095774,65097746,32902,33514
65099400,65101373,33042,34631
65103028,65105002,33068,34088
65106655,65108627,32053,33527
65110280,65112253,33367,34238
65113907,65115877,33305,34151
65117530,65119500,33724,33686
65121154,65123125,33409,33447
65124779,65126753,33896,33754
65128406,65130379,34107,33773
65132033,65134005,33182,33671
65139514,65141485,33298,34197
65143140,65145111,33069,34260
65146764,65148735,33206,33446
65150389,65152360,33327,33776
65154015,65155987,32905,34509
65157640,65159610,32943,34498
65161263,65163235,33600,33551
65164888,65166861,33813,34503
65168514,65170485,33899,33764
65172140,65174112,32694,34493
65175766,65177739,33133,34055
65179392,65181363,32732,33831
65183018,65184989,32511,33195
65186642,65188612,33046,33413
65190265,65192237,33531,34549
65193890,65195862,34119,32638
65197515,65199486,33444,33031
65205022,65206993,33049,32295
65208646,65210617,32653,34385
65212270,65214241,33248,33412
65215895,65217868,32298,32661
65219522,65221495,33084,33370
65223150,65225121,32251,33825
65226774,65228746,32590,34218
65230400,65232373,33167,34102
65234028,65236002,33169,33794
65237655,65239625,33480,33852
65241278,65243249,31956,33429
65244903,65246876,33360,34723
65248530,65250501,33291,34198
65252154,65254125,33881,34550
65255779,65257753,32728,34171
65259406,65261379,32749,34138
65266912,65268885,33240,34091
65270539,65272510,33045,33855
65274164,65276135,33453,33986
65277788,65279762,33014,33249
65281415,65283386,33244,33640
65285041,65287012,33765,34434
65288665,65290636,33715,33767
65292289,65294262,32723,34592
65295914,65297888,33698,34590
65299541,65301512,34041,32987
65303165,65305139,33253,32251
65306792,65308765,33791,34215
65310419,65312392,32831,33162
65314047,65316017,32251,33238
65317670,65319641,32739,33237
65321295,65323265,33481,33305
65324918,65326890,33323,34145
65332287,65334262,32678,34330
65335915,65337888,33425,33690
65339540,65341512,33120,34188
65343165,65345138,34012,33870
65346790,65348763,33375,34265
65350417,65352388,32810,34219
65354043,65356014,32639,34446
65357669,65359640,33400,33824
65361293,65363264,33020,33187
65364917,65366890,33506,34029
65368544,65370516,33926,33518
65372170,65374141,32557,33762
65375793,65377766,32975,33984
65379419,65381392,33493,33882
65383047,65385018,33698,33799
65386670,65388642,32625,34148
65394167,65396140,32781,33918
65397794,65399767,32909,34503
65401421,65403394,33505,34232
65405049,65407020,33548,34005
65408674,65410647,33389,34019
65412299,65414272,32328,34099
65415925,65417896,33918,33643
65419550,65421521,33113,33629
65423175,65425146,32981,33885
65426799,65428772,33081,33629
65430425,65432398,33968,34494
